leaf,n_supports_on_path,supports_root_to_leaf,sum_branch_length,branch_lengths_root_to_leaf
var_55,11,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9020;0.7700;0.9150,0.010461,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010461;0.000000
var_56,11,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9020;0.7700;0.9150,0.021058,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010404;0.010654
var_57,11,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9020;0.7700;0.9150,0.010404,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010404;0.000000
var_58,12,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9020;0.7700;0.9150;0.5470,0.020909,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010461;0.010448;0.000000
var_59,12,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9020;0.7700;0.9150;0.5470,0.031342,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010461;0.010448;0.010433
var_6,5,0.7360;0.7440;0.7500;0.9140;0.2790,0.020865,0.000000;0.000000;0.000000;0.010446;0.010418;0.000000
var_60,3,0.9040;0.1890;0.9190,0.020858,0.000000;0.000000;0.010414;0.010444
var_61,3,0.9040;0.1890;0.9190,0.010414,0.000000;0.000000;0.010414;0.000000
var_62,2,0.7360;0.7680,0.010445,0.000000;0.000000;0.010445
var_63,2,0.7360;0.7680,0.010418,0.000000;0.000000;0.010418
var_64,10,0.0000;0.9970;0.0000;0.0000;0.0000;0.4990;0.0000;0.0000;0.9190;0.8110,0.010373,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010373
var_65,3,0.0000;0.8220;0.8620,0.010373,0.000000;0.000000;0.000000;0.010373
var_66,4,0.0000;0.9970;0.0000;0.6240,0.010405,0.000000;0.000000;0.000000;0.000000;0.010405
var_67,2,0.7360;0.7440,0.010473,0.000000;0.000000;0.010473
var_7,3,0.0000;0.8220;0.8910,0.010414,0.000000;0.000000;0.000000;0.010414
var_8,7,0.0000;0.9970;0.0000;0.0000;0.0000;0.5880;0.9000,0.010491,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010491
var_9,8,0.0000;0.9970;0.0000;0.0000;0.0000;0.4290;0.8070;0.9020,0.020862,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.010460;0.010402
